method,task,regime,split,seed,episodes,success,success_probability,precondition_violation,belief_ece,recovery_success,damage_rate,wasted_action,intervention_cost,data_efficiency_proxy
deterministic_symbolic_tamp,peg_assembly,nominal,unseen_contact,2,84,0.4762,0.4701,0.0791,0.1056,0.1947,0.0561,0.0583,0.1202,0.1985
deterministic_symbolic_tamp,peg_assembly,nominal,unseen_contact,3,84,0.5238,0.4831,0.0763,0.1037,0.1915,0.0506,0.051,0.1202,0.2001
deterministic_symbolic_tamp,peg_assembly,nominal,unseen_contact,4,84,0.4762,0.469,0.0805,0.0962,0.194,0.0537,0.0603,0.1202,0.1862
deterministic_symbolic_tamp,peg_assembly,nominal,unseen_contact,5,84,0.5,0.4658,0.0828,0.1084,0.1948,0.054,0.0596,0.1202,0.1932
deterministic_symbolic_tamp,peg_assembly,nominal,unseen_contact,6,84,0.4524,0.474,0.0821,0.103,0.1947,0.0562,0.0571,0.1202,0.1877
deterministic_symbolic_tamp,peg_assembly,nominal,combined_stress,0,84,0.369,0.4388,0.0819,0.1286,0.2082,0.0651,0.068,0.1278,0.1828
deterministic_symbolic_tamp,peg_assembly,nominal,combined_stress,1,84,0.4643,0.4432,0.0903,0.1258,0.2019,0.0646,0.0635,0.1278,0.2018
deterministic_symbolic_tamp,peg_assembly,nominal,combined_stress,2,84,0.5238,0.4403,0.0816,0.128,0.1861,0.0641,0.0679,0.1278,0.1878
deterministic_symbolic_tamp,peg_assembly,nominal,combined_stress,3,84,0.3095,0.4403,0.0943,0.1221,0.212,0.0677,0.0611,0.1278,0.1856
deterministic_symbolic_tamp,peg_assembly,nominal,combined_stress,4,84,0.4405,0.4454,0.086,0.1211,0.2047,0.0683,0.07,0.1278,0.2066
deterministic_symbolic_tamp,peg_assembly,nominal,combined_stress,5,84,0.5,0.4482,0.0873,0.1214,0.1925,0.0674,0.0659,0.1278,0.1718
deterministic_symbolic_tamp,peg_assembly,nominal,combined_stress,6,84,0.5,0.4317,0.0915,0.1271,0.2141,0.0668,0.0626,0.1278,0.1836
deterministic_symbolic_tamp,peg_assembly,hidden_friction,nominal,0,84,0.4524,0.4492,0.1666,0.1137,0.1864,0.0523,0.1086,0.1116,0.2268
deterministic_symbolic_tamp,peg_assembly,hidden_friction,nominal,1,84,0.4643,0.4634,0.1626,0.1071,0.2054,0.0566,0.1058,0.1116,0.2083
deterministic_symbolic_tamp,peg_assembly,hidden_friction,nominal,2,84,0.5119,0.4679,0.1717,0.1125,0.2113,0.0575,0.1046,0.1116,0.2242
deterministic_symbolic_tamp,peg_assembly,hidden_friction,nominal,3,84,0.3929,0.4588,0.1695,0.1125,0.1897,0.0599,0.0967,0.1116,0.2103
deterministic_symbolic_tamp,peg_assembly,hidden_friction,nominal,4,84,0.4405,0.4542,0.1639,0.1202,0.191,0.0569,0.1013,0.1116,0.2386
deterministic_symbolic_tamp,peg_assembly,hidden_friction,nominal,5,84,0.4167,0.4522,0.164,0.1116,0.1862,0.0574,0.1051,0.1116,0.222
deterministic_symbolic_tamp,peg_assembly,hidden_friction,nominal,6,84,0.4643,0.4492,0.164,0.1063,0.2049,0.0522,0.1086,0.1116,0.2145
deterministic_symbolic_tamp,peg_assembly,hidden_friction,seen_shift,0,84,0.4881,0.4096,0.1858,0.1407,0.2107,0.0736,0.1159,0.1221,0.1998
deterministic_symbolic_tamp,peg_assembly,hidden_friction,seen_shift,1,84,0.381,0.4006,0.1979,0.1486,0.1978,0.0754,0.1217,0.1221,0.2033
deterministic_symbolic_tamp,peg_assembly,hidden_friction,seen_shift,2,84,0.4048,0.4058,0.1939,0.1437,0.1851,0.0675,0.115,0.1221,0.2026
deterministic_symbolic_tamp,peg_assembly,hidden_friction,seen_shift,3,84,0.4048,0.4071,0.2007,0.1425,0.2081,0.07,0.1136,0.1221,0.2195
deterministic_symbolic_tamp,peg_assembly,hidden_friction,seen_shift,4,84,0.369,0.4049,0.2027,0.1472,0.2049,0.0758,0.1122,0.1221,0.1925
deterministic_symbolic_tamp,peg_assembly,hidden_friction,seen_shift,5,84,0.3929,0.3982,0.1892,0.1386,0.1928,0.0668,0.1088,0.1221,0.2041
deterministic_symbolic_tamp,peg_assembly,hidden_friction,seen_shift,6,84,0.4405,0.4011,0.1959,0.1385,0.2107,0.0671,0.1152,0.1221,0.2106
deterministic_symbolic_tamp,peg_assembly,hidden_friction,unseen_object,0,84,0.381,0.3717,0.2168,0.1551,0.1767,0.0833,0.1304,0.1276,0.1957
deterministic_symbolic_tamp,peg_assembly,hidden_friction,unseen_object,1,84,0.369,0.3757,0.2216,0.1648,0.1747,0.0817,0.1303,0.1276,0.1947
deterministic_symbolic_tamp,peg_assembly,hidden_friction,unseen_object,2,84,0.369,0.3793,0.212,0.1623,0.1952,0.082,0.1247,0.1276,0.1956
deterministic_symbolic_tamp,peg_assembly,hidden_friction,unseen_object,3,84,0.369,0.3763,0.2144,0.1606,0.1976,0.0752,0.126,0.1276,0.1936
deterministic_symbolic_tamp,peg_assembly,hidden_friction,unseen_object,4,84,0.3929,0.367,0.2157,0.1597,0.2008,0.0714,0.1304,0.1276,0.2033
deterministic_symbolic_tamp,peg_assembly,hidden_friction,unseen_object,5,84,0.3452,0.3758,0.2098,0.1613,0.1825,0.0743,0.1357,0.1276,0.2018
deterministic_symbolic_tamp,peg_assembly,hidden_friction,unseen_object,6,84,0.2857,0.3713,0.2149,0.162,0.189,0.0809,0.1332,0.1276,0.2047
deterministic_symbolic_tamp,peg_assembly,hidden_friction,unseen_contact,0,84,0.369,0.3501,0.2401,0.175,0.1823,0.0903,0.1275,0.1319,0.2021
deterministic_symbolic_tamp,peg_assembly,hidden_friction,unseen_contact,1,84,0.3214,0.3572,0.2451,0.1823,0.188,0.0825,0.1427,0.1319,0.1993
deterministic_symbolic_tamp,peg_assembly,hidden_friction,unseen_contact,2,84,0.369,0.3601,0.2397,0.1856,0.1918,0.0829,0.132,0.1319,0.205
deterministic_symbolic_tamp,peg_assembly,hidden_friction,unseen_contact,3,84,0.2857,0.3477,0.2331,0.175,0.1919,0.087,0.132,0.1319,0.1972
deterministic_symbolic_tamp,peg_assembly,hidden_friction,unseen_contact,4,84,0.381,0.3517,0.2394,0.1707,0.186,0.0848,0.1323,0.1319,0.1853
deterministic_symbolic_tamp,peg_assembly,hidden_friction,unseen_contact,5,84,0.3095,0.3447,0.2337,0.181,0.1963,0.0852,0.1355,0.1319,0.2042
deterministic_symbolic_tamp,peg_assembly,hidden_friction,unseen_contact,6,84,0.3095,0.3569,0.2377,0.1782,0.189,0.0775,0.1336,0.1319,0.1954
deterministic_symbolic_tamp,peg_assembly,hidden_friction,combined_stress,0,84,0.2262,0.3045,0.2601,0.2156,0.1853,0.0998,0.15,0.1415,0.2012
deterministic_symbolic_tamp,peg_assembly,hidden_friction,combined_stress,1,84,0.2857,0.3077,0.2594,0.2116,0.1919,0.0926,0.1527,0.1415,0.1894
deterministic_symbolic_tamp,peg_assembly,hidden_friction,combined_stress,2,84,0.2619,0.3115,0.2635,0.2176,0.1756,0.0902,0.155,0.1415,0.1765
deterministic_symbolic_tamp,peg_assembly,hidden_friction,combined_stress,3,84,0.2976,0.3136,0.2509,0.2123,0.2091,0.0946,0.1512,0.1415,0.1786
deterministic_symbolic_tamp,peg_assembly,hidden_friction,combined_stress,4,84,0.381,0.3117,0.2531,0.2108,0.2002,0.097,0.1543,0.1415,0.1834
deterministic_symbolic_tamp,peg_assembly,hidden_friction,combined_stress,5,84,0.3452,0.2994,0.2618,0.208,0.208,0.0967,0.1484,0.1415,0.1806
deterministic_symbolic_tamp,peg_assembly,hidden_friction,combined_stress,6,84,0.25,0.3081,0.2558,0.2089,0.2031,0.101,0.1622,0.1415,0.1862
deterministic_symbolic_tamp,peg_assembly,pose_ambiguity,nominal,0,84,0.5,0.4822,0.1441,0.1244,0.2092,0.0537,0.1068,0.1121,0.208
deterministic_symbolic_tamp,peg_assembly,pose_ambiguity,nominal,1,84,0.5,0.4768,0.1506,0.1164,0.1867,0.0593,0.11,0.1121,0.216
deterministic_symbolic_tamp,peg_assembly,pose_ambiguity,nominal,2,84,0.3929,0.4604,0.1547,0.1208,0.1867,0.0531,0.1098,0.1121,0.2135
deterministic_symbolic_tamp,peg_assembly,pose_ambiguity,nominal,3,84,0.4881,0.4706,0.1428,0.115,0.1969,0.0587,0.1066,0.1121,0.2254
deterministic_symbolic_tamp,peg_assembly,pose_ambiguity,nominal,4,84,0.4405,0.4532,0.1557,0.1172,0.1963,0.054,0.1115,0.1121,0.2215
deterministic_symbolic_tamp,peg_assembly,pose_ambiguity,nominal,5,84,0.5714,0.4683,0.1454,0.1207,0.1767,0.0609,0.1124,0.1121,0.2355
deterministic_symbolic_tamp,peg_assembly,pose_ambiguity,nominal,6,84,0.5476,0.4702,0.1502,0.1208,0.2031,0.0583,0.1178,0.1121,0.2178
deterministic_symbolic_tamp,peg_assembly,pose_ambiguity,seen_shift,0,84,0.4643,0.4176,0.1696,0.1467,0.207,0.0758,0.1262,0.1227,0.2106
deterministic_symbolic_tamp,peg_assembly,pose_ambiguity,seen_shift,1,84,0.5119,0.4283,0.172,0.146,0.1925,0.0811,0.1211,0.1227,0.2076
deterministic_symbolic_tamp,peg_assembly,pose_ambiguity,seen_shift,2,84,0.4286,0.4143,0.1787,0.1487,0.1891,0.0778,0.1296,0.1227,0.1998
deterministic_symbolic_tamp,peg_assembly,pose_ambiguity,seen_shift,3,84,0.3571,0.4214,0.1689,0.147,0.1987,0.0655,0.1322,0.1227,0.2141
deterministic_symbolic_tamp,peg_assembly,pose_ambiguity,seen_shift,4,84,0.4048,0.4338,0.1702,0.1447,0.194,0.0651,0.1206,0.1227,0.2145
deterministic_symbolic_tamp,peg_assembly,pose_ambiguity,seen_shift,5,84,0.381,0.4099,0.183,0.1404,0.1986,0.0797,0.1222,0.1227,0.2109
deterministic_symbolic_tamp,peg_assembly,pose_ambiguity,seen_shift,6,84,0.4405,0.418,0.1829,0.1432,0.193,0.0734,0.1318,0.1227,0.2148
deterministic_symbolic_tamp,peg_assembly,pose_ambiguity,unseen_object,0,84,0.4167,0.3901,0.1954,0.1662,0.2057,0.0721,0.1362,0.1283,0.2045
deterministic_symbolic_tamp,peg_assembly,pose_ambiguity,unseen_object,1,84,0.4643,0.3815,0.1968,0.1609,0.1946,0.086,0.1413,0.1283,0.2036
deterministic_symbolic_tamp,peg_assembly,pose_ambiguity,unseen_object,2,84,0.3214,0.3921,0.2041,0.1588,0.1824,0.0804,0.1342,0.1283,0.2001
deterministic_symbolic_tamp,peg_assembly,pose_ambiguity,unseen_object,3,84,0.4643,0.397,0.1923,0.156,0.2003,0.0834,0.1438,0.1283,0.1983
deterministic_symbolic_tamp,peg_assembly,pose_ambiguity,unseen_object,4,84,0.381,0.3878,0.193,0.1618,0.1791,0.0808,0.1465,0.1283,0.2084
deterministic_symbolic_tamp,peg_assembly,pose_ambiguity,unseen_object,5,84,0.3929,0.3863,0.1898,0.1595,0.205,0.0776,0.1312,0.1283,0.1978
deterministic_symbolic_tamp,peg_assembly,pose_ambiguity,unseen_object,6,84,0.4167,0.3832,0.208,0.1619,0.2005,0.0795,0.1424,0.1283,0.2118
deterministic_symbolic_tamp,peg_assembly,pose_ambiguity,unseen_contact,0,84,0.369,0.3733,0.1978,0.1826,0.2071,0.0852,0.1473,0.1327,0.193
deterministic_symbolic_tamp,peg_assembly,pose_ambiguity,unseen_contact,1,84,0.4524,0.3663,0.1961,0.1825,0.1941,0.0916,0.1416,0.1327,0.1975
deterministic_symbolic_tamp,peg_assembly,pose_ambiguity,unseen_contact,2,84,0.369,0.3625,0.2028,0.1821,0.2011,0.0849,0.1386,0.1327,0.2134
deterministic_symbolic_tamp,peg_assembly,pose_ambiguity,unseen_contact,3,84,0.369,0.372,0.2036,0.1795,0.2027,0.0831,0.1434,0.1327,0.196
deterministic_symbolic_tamp,peg_assembly,pose_ambiguity,unseen_contact,4,84,0.2976,0.3686,0.194,0.1833,0.1884,0.0897,0.1368,0.1327,0.2022
deterministic_symbolic_tamp,peg_assembly,pose_ambiguity,unseen_contact,5,84,0.3571,0.372,0.1963,0.1793,0.1954,0.0838,0.1445,0.1327,0.2104
deterministic_symbolic_tamp,peg_assembly,pose_ambiguity,unseen_contact,6,84,0.4286,0.3664,0.2138,0.1834,0.1828,0.0876,0.1382,0.1327,0.1877
deterministic_symbolic_tamp,peg_assembly,pose_ambiguity,combined_stress,0,84,0.3214,0.311,0.2359,0.2159,0.1933,0.0959,0.1704,0.1425,0.1744
deterministic_symbolic_tamp,peg_assembly,pose_ambiguity,combined_stress,1,84,0.3333,0.3229,0.2225,0.2176,0.1892,0.0972,0.166,0.1425,0.1975
deterministic_symbolic_tamp,peg_assembly,pose_ambiguity,combined_stress,2,84,0.4405,0.3296,0.2288,0.2199,0.1869,0.1023,0.1642,0.1425,0.1807
deterministic_symbolic_tamp,peg_assembly,pose_ambiguity,combined_stress,3,84,0.2857,0.3172,0.2222,0.2218,0.1913,0.1024,0.168,0.1425,0.1928
deterministic_symbolic_tamp,peg_assembly,pose_ambiguity,combined_stress,4,84,0.3571,0.3274,0.2333,0.2154,0.1751,0.0974,0.1648,0.1425,0.1927
deterministic_symbolic_tamp,peg_assembly,pose_ambiguity,combined_stress,5,84,0.3095,0.327,0.2263,0.213,0.183,0.0957,0.1594,0.1425,0.1911
deterministic_symbolic_tamp,peg_assembly,pose_ambiguity,combined_stress,6,84,0.25,0.3228,0.2233,0.2112,0.1907,0.0916,0.1552,0.1425,0.2038
deterministic_symbolic_tamp,peg_assembly,compliance_ambiguity,nominal,0,84,0.3452,0.4438,0.1681,0.118,0.1932,0.0715,0.1301,0.1127,0.2265
deterministic_symbolic_tamp,peg_assembly,compliance_ambiguity,nominal,1,84,0.5357,0.4466,0.1706,0.1214,0.1912,0.0653,0.1171,0.1127,0.2188
deterministic_symbolic_tamp,peg_assembly,compliance_ambiguity,nominal,2,84,0.4524,0.4513,0.1748,0.1171,0.1975,0.0702,0.123,0.1127,0.2136
deterministic_symbolic_tamp,peg_assembly,compliance_ambiguity,nominal,3,84,0.4286,0.4322,0.1632,0.1164,0.2006,0.0604,0.1227,0.1127,0.2298
deterministic_symbolic_tamp,peg_assembly,compliance_ambiguity,nominal,4,84,0.4881,0.4416,0.1708,0.1159,0.1977,0.0601,0.125,0.1127,0.2276
deterministic_symbolic_tamp,peg_assembly,compliance_ambiguity,nominal,5,84,0.5714,0.444,0.1734,0.1182,0.186,0.0688,0.1256,0.1127,0.2217
deterministic_symbolic_tamp,peg_assembly,compliance_ambiguity,nominal,6,84,0.5119,0.437,0.1761,0.1251,0.1828,0.0655,0.1159,0.1127,0.2308
deterministic_symbolic_tamp,peg_assembly,compliance_ambiguity,seen_shift,0,84,0.381,0.3876,0.2004,0.1564,0.2012,0.0756,0.1455,0.1234,0.2092
deterministic_symbolic_tamp,peg_assembly,compliance_ambiguity,seen_shift,1,84,0.369,0.3955,0.2041,0.1555,0.2005,0.083,0.1498,0.1234,0.2182
deterministic_symbolic_tamp,peg_assembly,compliance_ambiguity,seen_shift,2,84,0.3095,0.3875,0.202,0.1508,0.2042,0.0872,0.1435,0.1234,0.2124
deterministic_symbolic_tamp,peg_assembly,compliance_ambiguity,seen_shift,3,84,0.381,0.3907,0.1954,0.1508,0.2032,0.0798,0.1443,0.1234,0.2094
deterministic_symbolic_tamp,peg_assembly,compliance_ambiguity,seen_shift,4,84,0.381,0.3933,0.1928,0.1488,0.1925,0.0802,0.1439,0.1234,0.1953
deterministic_symbolic_tamp,peg_assembly,compliance_ambiguity,seen_shift,5,84,0.369,0.3865,0.1947,0.1466,0.1887,0.0925,0.1388,0.1234,0.2088
deterministic_symbolic_tamp,peg_assembly,compliance_ambiguity,seen_shift,6,84,0.4167,0.3957,0.2008,0.1552,0.1945,0.0812,0.1418,0.1234,0.2061
deterministic_symbolic_tamp,peg_assembly,compliance_ambiguity,unseen_object,0,84,0.3452,0.3473,0.2216,0.1733,0.1877,0.0909,0.1633,0.129,0.1963
deterministic_symbolic_tamp,peg_assembly,compliance_ambiguity,unseen_object,1,84,0.3095,0.3598,0.2198,0.1675,0.1857,0.0866,0.1586,0.129,0.2211
deterministic_symbolic_tamp,peg_assembly,compliance_ambiguity,unseen_object,2,84,0.3333,0.3516,0.226,0.1724,0.2047,0.0931,0.1571,0.129,0.2042
deterministic_symbolic_tamp,peg_assembly,compliance_ambiguity,unseen_object,3,84,0.2857,0.3447,0.2342,0.1713,0.1805,0.0976,0.1631,0.129,0.2008
deterministic_symbolic_tamp,peg_assembly,compliance_ambiguity,unseen_object,4,84,0.3452,0.3486,0.2265,0.1756,0.189,0.0941,0.1547,0.129,0.1974
deterministic_symbolic_tamp,peg_assembly,compliance_ambiguity,unseen_object,5,84,0.4167,0.3615,0.22,0.1693,0.1883,0.0864,0.1548,0.129,0.1967
deterministic_symbolic_tamp,peg_assembly,compliance_ambiguity,unseen_object,6,84,0.369,0.3474,0.2294,0.1697,0.2149,0.0897,0.1569,0.129,0.1951
deterministic_symbolic_tamp,peg_assembly,compliance_ambiguity,unseen_contact,0,84,0.2619,0.3336,0.2313,0.1928,0.1797,0.1003,0.1577,0.1335,0.1983
deterministic_symbolic_tamp,peg_assembly,compliance_ambiguity,unseen_contact,1,84,0.2857,0.3323,0.2261,0.1898,0.198,0.0985,0.1671,0.1335,0.199
deterministic_symbolic_tamp,peg_assembly,compliance_ambiguity,unseen_contact,2,84,0.3333,0.3359,0.234,0.1877,0.1837,0.0956,0.1612,0.1335,0.1988
deterministic_symbolic_tamp,peg_assembly,compliance_ambiguity,unseen_contact,3,84,0.25,0.3318,0.2434,0.1908,0.2,0.1011,0.1655,0.1335,0.208
deterministic_symbolic_tamp,peg_assembly,compliance_ambiguity,unseen_contact,4,84,0.3214,0.3411,0.2318,0.1835,0.2001,0.1037,0.1631,0.1335,0.1914
deterministic_symbolic_tamp,peg_assembly,compliance_ambiguity,unseen_contact,5,84,0.2619,0.3258,0.2495,0.1806,0.1925,0.0936,0.1526,0.1335,0.1989
deterministic_symbolic_tamp,peg_assembly,compliance_ambiguity,unseen_contact,6,84,0.369,0.3491,0.2309,0.1923,0.1956,0.0909,0.1699,0.1335,0.203
deterministic_symbolic_tamp,peg_assembly,compliance_ambiguity,combined_stress,0,84,0.2857,0.2934,0.2595,0.2212,0.184,0.1114,0.184,0.1434,0.1923
deterministic_symbolic_tamp,peg_assembly,compliance_ambiguity,combined_stress,1,84,0.3571,0.2824,0.2666,0.224,0.1711,0.1178,0.1801,0.1434,0.1857
deterministic_symbolic_tamp,peg_assembly,compliance_ambiguity,combined_stress,2,84,0.2738,0.2757,0.264,0.2195,0.1968,0.1128,0.1884,0.1434,0.1773
deterministic_symbolic_tamp,peg_assembly,compliance_ambiguity,combined_stress,3,84,0.2738,0.2892,0.2668,0.2258,0.1738,0.1075,0.1875,0.1434,0.1746
deterministic_symbolic_tamp,peg_assembly,compliance_ambiguity,combined_stress,4,84,0.3452,0.2827,0.2719,0.2205,0.1909,0.11,0.1827,0.1434,0.1846
deterministic_symbolic_tamp,peg_assembly,compliance_ambiguity,combined_stress,5,84,0.2619,0.286,0.2642,0.2269,0.1839,0.1093,0.1869,0.1434,0.1741
deterministic_symbolic_tamp,peg_assembly,compliance_ambiguity,combined_stress,6,84,0.369,0.2756,0.2685,0.2263,0.1852,0.1085,0.1752,0.1434,0.1764
deterministic_symbolic_tamp,peg_assembly,jamming_ambiguity,nominal,0,84,0.4405,0.4341,0.1935,0.1204,0.2115,0.0751,0.1298,0.1129,0.2383
deterministic_symbolic_tamp,peg_assembly,jamming_ambiguity,nominal,1,84,0.3571,0.4288,0.1925,0.123,0.2137,0.0637,0.1227,0.1129,0.2155
deterministic_symbolic_tamp,peg_assembly,jamming_ambiguity,nominal,2,84,0.4286,0.4247,0.1887,0.1175,0.1823,0.0662,0.1364,0.1129,0.2099
deterministic_symbolic_tamp,peg_assembly,jamming_ambiguity,nominal,3,84,0.5238,0.4394,0.1927,0.1199,0.1881,0.0657,0.1282,0.1129,0.2179
deterministic_symbolic_tamp,peg_assembly,jamming_ambiguity,nominal,4,84,0.369,0.4261,0.1912,0.1195,0.1882,0.0721,0.126,0.1129,0.2304
deterministic_symbolic_tamp,peg_assembly,jamming_ambiguity,nominal,5,84,0.4643,0.4331,0.1882,0.1209,0.2047,0.0713,0.1361,0.1129,0.2149
deterministic_symbolic_tamp,peg_assembly,jamming_ambiguity,nominal,6,84,0.4286,0.4346,0.1964,0.1256,0.1957,0.0666,0.1268,0.1129,0.2196
deterministic_symbolic_tamp,peg_assembly,jamming_ambiguity,seen_shift,0,84,0.3095,0.3811,0.2193,0.1541,0.1944,0.0878,0.153,0.1237,0.2081
deterministic_symbolic_tamp,peg_assembly,jamming_ambiguity,seen_shift,1,84,0.3571,0.3699,0.231,0.1477,0.1989,0.0919,0.1602,0.1237,0.2015
deterministic_symbolic_tamp,peg_assembly,jamming_ambiguity,seen_shift,2,84,0.3571,0.3735,0.2261,0.1478,0.1895,0.093,0.1523,0.1237,0.2148
deterministic_symbolic_tamp,peg_assembly,jamming_ambiguity,seen_shift,3,84,0.4167,0.381,0.2324,0.1476,0.2046,0.0857,0.1571,0.1237,0.2238
deterministic_symbolic_tamp,peg_assembly,jamming_ambiguity,seen_shift,4,84,0.2857,0.3712,0.2356,0.152,0.1995,0.0898,0.1509,0.1237,0.2231
deterministic_symbolic_tamp,peg_assembly,jamming_ambiguity,seen_shift,5,84,0.3452,0.3702,0.2219,0.1557,0.1989,0.0921,0.1514,0.1237,0.2168
deterministic_symbolic_tamp,peg_assembly,jamming_ambiguity,seen_shift,6,84,0.381,0.3822,0.2298,0.1473,0.1722,0.0857,0.1517,0.1237,0.2174
deterministic_symbolic_tamp,peg_assembly,jamming_ambiguity,unseen_object,0,84,0.3333,0.3179,0.263,0.1654,0.1951,0.1051,0.177,0.1294,0.2023
deterministic_symbolic_tamp,peg_assembly,jamming_ambiguity,unseen_object,1,84,0.3452,0.3217,0.2709,0.1691,0.2086,0.0925,0.1686,0.1294,0.1916
deterministic_symbolic_tamp,peg_assembly,jamming_ambiguity,unseen_object,2,84,0.3214,0.3286,0.2618,0.1793,0.1661,0.0941,0.173,0.1294,0.2005
deterministic_symbolic_tamp,peg_assembly,jamming_ambiguity,unseen_object,3,84,0.3214,0.3192,0.2605,0.1766,0.2066,0.1,0.1791,0.1294,0.2004
deterministic_symbolic_tamp,peg_assembly,jamming_ambiguity,unseen_object,4,84,0.25,0.3216,0.2523,0.1692,0.196,0.0883,0.1776,0.1294,0.1977
deterministic_symbolic_tamp,peg_assembly,jamming_ambiguity,unseen_object,5,84,0.2976,0.331,0.2602,0.1679,0.2017,0.1055,0.1663,0.1294,0.2057
deterministic_symbolic_tamp,peg_assembly,jamming_ambiguity,unseen_object,6,84,0.3571,0.3345,0.2626,0.1692,0.1942,0.0952,0.1747,0.1294,0.2057
deterministic_symbolic_tamp,peg_assembly,jamming_ambiguity,unseen_contact,0,84,0.2976,0.3174,0.2627,0.1823,0.1977,0.0978,0.1658,0.1339,0.191
deterministic_symbolic_tamp,peg_assembly,jamming_ambiguity,unseen_contact,1,84,0.2738,0.3026,0.2593,0.1873,0.1921,0.1055,0.1701,0.1339,0.1924
deterministic_symbolic_tamp,peg_assembly,jamming_ambiguity,unseen_contact,2,84,0.2619,0.3238,0.2465,0.1961,0.1928,0.1014,0.1589,0.1339,0.1957
deterministic_symbolic_tamp,peg_assembly,jamming_ambiguity,unseen_contact,3,84,0.4286,0.3177,0.2536,0.1846,0.182,0.102,0.1672,0.1339,0.2101
deterministic_symbolic_tamp,peg_assembly,jamming_ambiguity,unseen_contact,4,84,0.4048,0.3213,0.2578,0.1882,0.2067,0.1032,0.1688,0.1339,0.2139
deterministic_symbolic_tamp,peg_assembly,jamming_ambiguity,unseen_contact,5,84,0.25,0.3117,0.2606,0.1853,0.1864,0.1106,0.1684,0.1339,0.1835
